"Latest: Time (s)";"Latest: Force (N)";"Latest: Position (m)";"Latest: Velocity (m/s)";"Latest: Acceleration (m/s²)"
2,5;109,89010989;1,328096;-0,765423555556;4,34483604938
2,55;109,89010989;1,3141016;-0,388123555556;4,25455506173
2,6;108,669108669;1,3044976;-0,255801777778;2,5228708642
2,65;109,89010989;1,2913264;-0,191927555556;1,50064617284
2,7;109,89010989;1,2836432;-0,132474222222;0,997664197531
2,75;111,111111111;1,2789784;-0,0899422222222;0,619517283951
2,8;109,89010989;1,2756856;-0,0687524444444;0,257292345679
2,85;111,111111111;1,273216;-0,071344;0,0456486419753
2,9;108,669108669;1,2685512;-0,0759173333333;0,0659745679012
2,95;109,89010989;1,2647096;-0,065856;0,142874320988
3;113,553113553;1,26224;-0,0580813333333;0,187930123457
3,05;111,111111111;1,2592216;-0,0525933333333;0,324198518519
3,1;111,111111111;1,2559288;-0,0283546666667;0,492480246914
3,15;109,89010989;1,2559288;0,00487822222222;0,506708395062
3,2;113,553113553;1,2570264;0,0278973333333;0,402792098765
3,25;113,553113553;1,2589472;0,0454284444444;0,271859259259
3,3;111,111111111;1,2619656;0,0536604444444;0,152529135802
3,35;109,89010989;1,2641608;0,0614351111111;0,0218503703704
3,4;109,89010989;1,2685512;0,0594533333333;-0,15778
3,45;109,89010989;1,2710208;0,0407026666667;-0,240269382716
3,5;108,669108669;1,2721184;0,0292693333333;-0,202242962963
3,55;108,669108669;1,2737648;0,0211897777778;-0,15735654321
3,6;111,111111111;1,2743136;0,0135675555556;-0,10933654321
3,65;109,89010989;1,2748624;0,0106711111111;-0,07546
3,7;109,89010989;1,2754112;0,00762222222222;-0,0746130864198
3,75;111,111111111;1,2756856;0,00350622222222;-0,085622962963
3,8;109,89010989;1,2756856;4,93528828915E-16;-0,112893580247
3,85;113,553113553;1,27596;-0,00792711111111;-0,135082716049
3,9;112,332112332;1,2748624;-0,0161591111111;-0,099597037037
3,95;111,111111111;1,2740392;-0,0182933333333;-0,0248992592592
4;109,89010989;1,2734904;-0,024696;0,186236296296
4,05;109,89010989;1,270472;-0,00838444444444;0,581744938272
4,1;111,111111111;1,2715696;0,0333853333333;1,05838790123
4,15;113,553113553;1,2734904;0,0894848888889;1,81459703704
4,2;109,89010989;1,278704;0,184915111111;3,40806493827
4,25;109,89010989;1,2913264;0,377147555556;5,68821037037
4,3;109,89010989;1,3077904;0,721214666667;7,49865753086
4,35;111,111111111;1,3341328;1,47368044444;2,83072395062
4,4;112,332112332;1,5067304;1,29288133333;-6,71153604938
4,45;112,332112332;1,50234;0,394373777778;-9,07696567901
4,5;112,332112332;1,507828;0,0835395555556;-5,50087308642
4,55;109,89010989;1,5045352;-0,076832;-2,33096024691
4,6;109,89010989;1,4965776;-0,0817102222222;-0,35841382716
4,65;113,553113553;1,4952056;-0,0632644444444;0,483587654321
4,7;108,669108669;1,4910896;-0,0426844444444;1,75649876543
4,75;109,89010989;1,4894432;0,00579288888889;5,99982375309
4,8;113,553113553;1,48862;0,354890666667;13,839304716
4,85;109,89010989;1,5034376;1,15354711111;23,540648963
4,9;109,89010989;1,5045352;3,48936186667;18,7815874815
4,95;111,111111111;1,9677224;3,92155711111;-1,19055723457
5;109,89010989;1,9894;2,37295022222;-17,8525486914
